Assembly Accession	Assembly Name	Organism Name	Assembly Stats Total Sequence Length	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene
GCF_018571045.1	ASM1857104v1	ssRNA phage Gephyllon.1_28	3623	3	3	
GCF_018572955.1	ASM1857295v1	ssRNA phage SRR5466337_1	3622	3	3	
GCF_018551485.1	ASM1855148v1	ssRNA phage Gerhypos.1_49	3621	3	3	
GCF_018554535.1	ASM1855453v1	ssRNA phage Gephyllon.3_12	3621	3	3	
GCF_018572785.1	ASM1857278v1	ssRNA phage SRR6960799_34	3621	3	3	
GCF_018548395.1	ASM1854839v1	ssRNA phage ESE058	3620	3	3	
GCF_018572005.1	ASM1857200v1	ssRNA phage Zoerhiza.2_29	3618	3	3	
GCF_018571565.1	ASM1857156v1	ssRNA phage Gerhypos.1_26	3617	3	3	
GCF_018573505.1	ASM1857350v1	ssRNA phage SRR6254353_1	3615	3	3	
GCF_018572375.1	ASM1857237v1	ssRNA phage Zoerhiza.2_18	3614	3	3	
GCF_018566605.1	ASM1856660v1	ssRNA phage SRR6960509_16	3613	3	3	
GCF_018548435.1	ASM1854843v1	ssRNA phage ESO010	3612	3	3	
GCF_018569175.1	ASM1856917v1	ssRNA phage SRR6960797_1	3612	3	3	
GCF_018551505.1	ASM1855150v1	ssRNA phage Zoerhiza.1_22	3611	3	3	
GCF_018580575.1	ASM1858057v1	Leviviridae sp.	3609	3	3	
GCF_018548355.1	ASM1854835v1	ssRNA phage ESE019	3608	3	3	
GCF_018557845.1	ASM1855784v1	ssRNA phage Gerhypos.4_66	3608	3	3	
GCF_023124495.1	ASM2312449v1	Alternaria alternata mitovirus 1	3607	1	1	
GCF_018572795.1	ASM1857279v1	ssRNA phage SRR6960799_41	3606	3	3	
GCF_018554655.1	ASM1855465v1	ssRNA phage Gerhypos.4_48	3605	3	3	
GCF_018572935.1	ASM1857293v1	ssRNA phage SRR5208575_1	3605	3	3	
GCF_018548335.1	ASM1854833v1	ssRNA phage ESE017	3604	3	3	
GCF_018566615.1	ASM1856661v1	ssRNA phage SRR6960509_5	3601	5	5	
GCF_018572905.1	ASM1857290v1	ssRNA phage SRR5208570_6	3601	3	3	
GCF_018572285.1	ASM1857228v1	ssRNA phage Gerhypos.1_47	3600	3	3	
GCF_018569825.1	ASM1856982v1	ssRNA phage SRR7976357_3	3596	4	4	
GCF_018563105.1	ASM1856310v1	ssRNA phage SRR6960799_15	3595	3	3	
GCF_018554675.1	ASM1855467v1	ssRNA phage Zoerhiza.4_26	3594	3	3	
GCF_018577525.1	ASM1857752v1	ssRNA phage SRR7976356_1	3592	3	3	
GCF_018560285.1	ASM1856028v1	ssRNA phage SRR6960507_2	3591	3	3	
GCF_018563505.1	ASM1856350v1	ssRNA phage SRR5466364_2	3590	4	4	
GCF_018563335.1	ASM1856333v1	ssRNA phage SRR6960803_7	3589	4	4	
GCF_018568945.1	ASM1856894v1	ssRNA phage SRR6960551_2	3587	3	3	
GCF_018563595.1	ASM1856359v1	ssRNA phage SRR5466725_22	3586	3	3	
GCF_018570655.1	ASM1857065v1	ssRNA phage Esthiorhiza.2_34	3581	3	3	
GCF_018573175.1	ASM1857317v1	ssRNA phage SRR5466725_15	3581	3	3	
GCF_023131425.1	ASM2313142v1	Heterobasidion mitovirus 3	3580	1	1	
GCF_018569345.1	ASM1856934v1	ssRNA phage SRR7976300_3	3579	3	3	
GCF_018571395.1	ASM1857139v1	ssRNA phage Gerhypos.3_14	3577	3	3	
GCF_018572805.1	ASM1857280v1	ssRNA phage SRR6960799_20	3577	3	3	
GCF_018551265.1	ASM1855126v1	ssRNA phage Gerhypos.2_13	3576	3	3	
GCF_018571155.1	ASM1857115v1	ssRNA phage Zoerhiza.3_4	3576	5	5	
GCF_018574775.1	ASM1857477v1	ssRNA phage SRR7976300_7	3575	4	4	
GCF_003032535.1	ASM303253v1	Maize rough dwarf virus	29145	13	13	
GCF_018572175.1	ASM1857217v1	ssRNA phage Gephyllon.1_22	3572	3	3	
GCF_018566385.1	ASM1856638v1	ssRNA phage SRR5467091_3	3570	4	4	
GCF_018572815.1	ASM1857281v1	ssRNA phage SRR6960799_9	3570	3	3	
GCF_018563445.1	ASM1856344v1	ssRNA phage SRR5208572_1	3569	4	4	
GCF_018566415.1	ASM1856641v1	ssRNA phage SRR6049586_1	3568	4	4	
GCF_018572825.1	ASM1857282v1	ssRNA phage SRR6960799_25	3567	3	3	
GCF_018570735.1	ASM1857073v1	ssRNA phage Gerhypos.1_29	3562	4	4	
GCF_023141625.1	ASM2314162v1	Botrytis cinerea ourmia-like virus 2	3561	1	1	
GCF_018551445.1	ASM1855144v1	ssRNA phage Zoerhiza.1_38	3558	4	4	
GCF_018569645.1	ASM1856964v1	ssRNA phage SRR7976325_22	3558	3	3	
GCF_018572355.1	ASM1857235v1	ssRNA phage Gerhypos.4_49	3558	3	3	
GCF_018573425.1	ASM1857342v1	ssRNA phage SRR5467137_1	3557	3	3	
GCF_018563345.1	ASM1856334v1	ssRNA phage SRR6960803_9	3556	3	3	
GCF_018570715.1	ASM1857071v1	ssRNA phage Zoerhiza.2_13	3556	3	3	
GCF_018572545.1	ASM1857254v1	ssRNA phage Gerhypos.4_61	3556	3	3	
GCF_018572835.1	ASM1857283v1	ssRNA phage SRR6960799_23	3554	3	3	
GCF_018554055.1	ASM1855405v1	ssRNA phage Zoerhiza.2_17	3553	3	3	
GCF_018563115.1	ASM1856311v1	ssRNA phage SRR6960799_31	3553	3	3	
GCF_018577065.1	ASM1857706v1	ssRNA phage SRR7976323_2	3553	4	4	
GCF_018554255.1	ASM1855425v1	ssRNA phage Gerhypos.3_27	3550	3	3	
GCF_018557775.1	ASM1855777v1	ssRNA phage Zoerhiza.2_30	3548	4	4	
GCF_018548375.1	ASM1854837v1	ssRNA phage ESE021	3547	3	3	
GCF_018560295.1	ASM1856029v1	ssRNA phage SRR6960507_5	3547	3	3	
GCF_018566525.1	ASM1856652v1	ssRNA phage SRR6255746_3	3546	3	3	
GCF_018560205.1	ASM1856020v1	ssRNA phage SRR6050738_1	3545	3	3	
GCF_018569655.1	ASM1856965v1	ssRNA phage SRR7976325_5	3543	3	3	
GCF_018563475.1	ASM1856347v1	ssRNA phage SRR5466338_1	3542	3	3	
GCF_018566485.1	ASM1856648v1	ssRNA phage SRR6255733_1	3542	3	3	
GCF_018570375.1	ASM1857037v1	ssRNA phage Gerhypos.4_67	3541	4	4	
GCF_018568905.1	ASM1856890v1	ssRNA phage SRR6960549_3	3540	4	4	
GCF_018568965.1	ASM1856896v1	ssRNA phage SRR6960551_8	3540	3	3	
GCF_013087235.1	ASM1308723v1	turkey parvovirus 2	3539	2	2	
GCF_018570215.1	ASM1857021v1	ssRNA phage Gephyllon.1_13	3539	3	3	
GCF_018573415.1	ASM1857341v1	ssRNA phage SRR5467091_8	3538	4	4	
GCF_018568975.1	ASM1856897v1	ssRNA phage SRR6960551_9	3536	3	3	
GCF_018577585.1	ASM1857758v1	ssRNA phage SRR7976357_12	3533	3	3	
GCF_018572205.1	ASM1857220v1	ssRNA phage Esthiorhiza.2_35	3530	3	3	
GCF_018571485.1	ASM1857148v1	ssRNA phage Esthiorhiza.3_13	3529	3	3	
GCF_018574415.1	ASM1857441v1	ssRNA phage SRR6960551_10	3526	3	3	
GCF_018577385.1	ASM1857738v1	ssRNA phage SRR7976325_3	3526	4	4	
GCF_018577695.1	ASM1857769v1	ssRNA phage SRR7687334_1	3524	3	3	
GCF_023124485.1	ASM2312448v1	Epicoccum nigrum mitovirus 1	3520	1	1	
GCF_018566625.1	ASM1856662v1	ssRNA phage SRR6960540_1	3515	3	3	
GCF_018577395.1	ASM1857739v1	ssRNA phage SRR7976325_19	3512	4	4	
GCF_018565865.1	ASM1856586v1	ssRNA phage SRR5466725_17	3510	3	3	
GCF_018569765.1	ASM1856976v1	ssRNA phage SRR7976356_6	3509	3	3	
GCF_018572915.1	ASM1857291v1	ssRNA phage SRR5208570_4	3509	4	4	
GCF_018570915.1	ASM1857091v1	ssRNA phage Zoerhiza.1_1	3508	3	3	
GCF_018563355.1	ASM1856335v1	ssRNA phage SRR6960803_11	3507	3	3	
GCF_023124155.1	ASM2312415v1	Penicillium digitatum yadokarivirus 1	3507	1	1	
GCF_018574705.1	ASM1857470v1	ssRNA phage SRR7976299_2	3503	3	3	
GCF_018548345.1	ASM1854834v1	ssRNA phage ESE018	3502	3	3	
GCF_018577595.1	ASM1857759v1	ssRNA phage SRR7976357_6	3499	3	3	
GCF_018571755.1	ASM1857175v1	ssRNA phage Esthiorhiza.4_10	3498	4	4	
GCF_018570265.1	ASM1857026v1	ssRNA phage Zoerhiza.4_27	3496	3	3	
GCF_029887025.1	ASM2988702v1	Avonheates virus SG_479	3492	3	3	
GCF_018569205.1	ASM1856920v1	ssRNA phage SRR6960802_1	3490	3	3	
GCF_018574765.1	ASM1857476v1	ssRNA phage SRR7976299_7	3487	3	3	
GCF_018548205.1	ASM1854820v1	ssRNA phage AVE017	3483	3	3	
GCF_018577075.1	ASM1857707v1	ssRNA phage SRR7976323_3	3477	3	3	
GCF_018569025.1	ASM1856902v1	ssRNA phage SRR6960551_7	3474	3	3	
GCF_018569395.1	ASM1856939v1	ssRNA phage SRR7976301_8	3474	3	3	
GCF_018548295.1	ASM1854829v1	ssRNA phage ESE006	3469	3	3	
GCF_018572305.1	ASM1857230v1	ssRNA phage Gephyllon.1_10	3469	4	4	
GCF_018569055.1	ASM1856905v1	ssRNA phage SRR6960551_11	3467	3	3	
GCF_018571075.1	ASM1857107v1	ssRNA phage Esthiorhiza.4_19	3459	4	4	
GCF_018572875.1	ASM1857287v1	ssRNA phage SRR6960803_13	3459	3	3	
GCF_018574215.1	ASM1857421v1	ssRNA phage SRR6960509_12	3458	3	3	
GCF_018569355.1	ASM1856935v1	ssRNA phage SRR7976300_8	3456	3	3	
GCF_018573335.1	ASM1857333v1	ssRNA phage SRR5467090_10	3453	3	3	
GCF_018563165.1	ASM1856316v1	ssRNA phage SRR6960799_30	3452	3	3	
GCF_018569405.1	ASM1856940v1	ssRNA phage SRR7976301_1	3452	3	3	
GCF_018577625.1	ASM1857762v1	ssRNA phage SRR7976357_7	3441	3	3	
GCF_023120375.1	ASM2312037v1	Agaricus bisporus mitovirus 1	3439	1	1	
GCF_018572645.1	ASM1857264v1	ssRNA phage SRR6960507_3	3431	3	3	
GCF_018569665.1	ASM1856966v1	ssRNA phage SRR7976325_17	3430	3	3	
GCF_018563365.1	ASM1856336v1	ssRNA phage SRR6960803_8	3428	3	3	
GCF_018563375.1	ASM1856337v1	ssRNA phage SRR6960803_10	3421	3	3	
GCF_018569415.1	ASM1856941v1	ssRNA phage SRR7976301_2	3420	3	3	
GCF_018569505.1	ASM1856950v1	ssRNA phage SRR7976310_12	3420	3	3	
GCF_013086835.1	ASM1308683v1	Mosquito X virus	6638	2	2	
GCF_018570135.1	ASM1857013v1	ssRNA phage Gephyllon.4_23	3417	3	3	
GCF_018582995.1	ASM1858299v1	Entoleuca ourmia-like virus 1	3412	1	1	
GCF_018585445.1	ASM1858544v1	Tetranychus urticae-associated ambidensovirus	3411	3	3	
GCF_023124295.1	ASM2312429v1	Rhizoctonia solani mitovirus 32	3409	1	1	
GCF_018572655.1	ASM1857265v1	ssRNA phage SRR6960507_4	3404	3	3	
GCF_018571905.1	ASM1857190v1	ssRNA phage Zoerhiza.2_12	3402	3	3	
GCF_023124305.1	ASM2312430v1	Rhizoctonia solani mitovirus 34	3389	1	1	
GCF_018569535.1	ASM1856953v1	ssRNA phage SRR7976323_4	3386	3	3	
GCF_018554125.1	ASM1855412v1	ssRNA phage Esthiorhiza.2_36	3384	4	4	
GCF_018551155.1	ASM1855115v1	ssRNA phage Esthiorhiza.4_11	3382	3	3	
GCF_018572845.1	ASM1857284v1	ssRNA phage SRR6960799_19	3382	3	3	
GCF_023141655.1	ASM2314165v1	Botrytis cinerea ourmia-like virus 5	3376	1	1	
GCF_018569365.1	ASM1856936v1	ssRNA phage SRR7976300_6	3375	3	3	
GCF_018554685.1	ASM1855468v1	ssRNA phage Gerhypos.4_50	3369	3	3	
GCF_002826185.1	ASM282618v1	Roundleaf bat hepatitis B virus	3368	4	4	
GCF_018569715.1	ASM1856971v1	ssRNA phage SRR7976326_4	3368	3	3	
GCF_018569675.1	ASM1856967v1	ssRNA phage SRR7976325_18	3364	3	3	
GCF_018573185.1	ASM1857318v1	ssRNA phage SRR5466725_1	3364	3	3	
GCF_018570705.1	ASM1857070v1	ssRNA phage Esthiorhiza.2_49	3335	4	4	
GCF_013087085.1	ASM1308708v1	Rotifer birnavirus strain Palavas	6577	2	2	
GCF_018577665.1	ASM1857766v1	ssRNA phage SRR5995670_2	3326	3	3	
GCF_023141435.1	ASM2314143v1	Plasmopara viticola lesion associated ourmia-like virus 82	3324	1	1	
GCF_018570615.1	ASM1857061v1	ssRNA phage Gephyllon.1_11	3312	3	3	
GCF_023119735.1	ASM2311973v1	Tuber excavatum mitovirus	3305	1	1	
GCF_018548275.1	ASM1854827v1	ssRNA phage EOC000	3303	3	3	
GCF_018563175.1	ASM1856317v1	ssRNA phage SRR6960799_24	3296	3	3	
GCF_018566005.1	ASM1856600v1	ssRNA phage SRR5466727_4	3295	3	3	
GCF_018548305.1	ASM1854830v1	ssRNA phage ESE007	3294	3	3	
GCF_018569685.1	ASM1856968v1	ssRNA phage SRR7976325_6	3287	3	3	
GCF_023141635.1	ASM2314163v1	Botrytis cinerea ourmia-like virus 3	3286	1	1	
GCF_013087095.1	ASM1308709v1	Drosophila melanogaster birnavirus SW-2009a	6274	3	3	
GCF_018574445.1	ASM1857444v1	ssRNA phage SRR6960551_5	3259	3	3	
GCF_018570525.1	ASM1857052v1	ssRNA phage Gephyllon.4_15	3251	3	3	
GCF_004788375.1	ASM478837v1	Wild vitis virus 1	3237	6	6	
GCF_018569085.1	ASM1856908v1	ssRNA phage SRR6960551_6	3231	3	3	
GCF_023124325.1	ASM2312432v1	Rhizoctonia solani ourmia-like virus 3	3223	1	1	
GCF_018573195.1	ASM1857319v1	ssRNA phage SRR5466725_18	3211	3	3	
GCF_000898075.1	ViralProj165741	Grapevine red blotch virus	3206	5	5	
GCF_023124265.1	ASM2312426v1	Rhizoctonia solani mitovirus 27	3176	1	1	
GCF_018595495.1	ASM1859549v1	Salado virus	12683	3	3	
GCF_013088315.1	ASM1308831v1	Asian grey shrew hepatitis B virus	3165	4	4	
GCF_029885925.1	ASM2988592v1	Armillaria mellea ourmia-like virus 2	3162	1	1	
GCF_004787635.1	ASM478763v1	Zygosaccharomyces bailii virus Z	3160	2	2	
GCF_002826205.1	ASM282620v1	Tent-making bat hepatitis B virus	3149	4	4	
GCF_023120165.1	ASM2312016v1	Rhizoctonia cerealis mitovirus	3149	1	1	
GCF_023119385.1	ASM2311938v1	Ophiostoma mitovirus 1a	3147	1	1	
GCF_023131235.1	ASM2313123v1	Geopora sumneriana mitovirus 1	3146	1	1	
GCF_013088395.1	Tai Forest hepadnavirus	Tai Forest hepadnavirus	3128	4	4	
GCF_023141455.1	ASM2314145v1	Plasmopara viticola lesion associated ourmia-like virus 83	3111	1	1	
GCF_023119805.1	ASM2311980v1	Ophiostoma mitovirus 1c	3107	1	1	
GCF_023141465.1	ASM2314146v1	Plasmopara viticola lesion associated ourmia-like virus 84	3103	1	1	
GCF_023131805.1	ASM2313180v1	Apple ourmia-like virus 3	3067	1	1	
GCF_023141475.1	ASM2314147v1	Plasmopara viticola lesion associated ourmia-like virus 85	3060	1	1	
GCF_018589665.1	ASM1858966v1	Paper mulberry leaf curling associated virus 1	3056	6	6	
GCF_013086105.1	ASM1308610v1	Tai Forest reovirus	24938	10	10	
GCF_018585585.1	ASM1858558v1	Cladosporium uredinicola ourmiavirus 2	3030	1	1	
GCF_013087445.1	ASM1308744v1	Human PoSCV5-like circular virus	3018	2	2	
GCF_023141415.1	ASM2314141v1	Plasmopara viticola lesion associated ourmia-like virus 80	3000	1	1	
GCF_018585565.1	ASM1858556v1	Penicillium sumatrense ourmia-like virus 1	2976	1	1	
GCF_013088075.1	ASM1308807v1	Sesame yellow mosaic virus	2964	6	6	
GCF_018580395.1	ASM1858039v1	Mulberry crinkle-associated virus	2952	6	6	
GCF_018580875.1	ASM1858087v1	TTV-like mini virus	2943	3	3	
GCF_018580665.1	ASM1858066v1	TTV-like mini virus	2938	3	3	
GCF_018585605.1	ASM1858560v1	Phaeoacremonium minimum ourmia-like virus 1	2936	1	1	
GCF_023148365.1	ASM2314836v1	Entamoeba-associated CRESS DNA virus 3	2931	2	2	
GCF_023131355.1	ASM2313135v1	Heterobasidion mitovirus 2	2923	1	1	
GCF_006370125.1	ASM637012v1	Anelloviridae sp.	2919	2	2	
GCF_018580125.1	ASM1858012v1	TTV-like mini virus	2915	3	3	
GCF_018584815.1	ASM1858481v1	TTV-like mini virus	2907	3	3	
GCF_023141705.1	ASM2314170v1	Botrytis cinerea ourmia-like virus 12	2898	1	1	
GCF_023131925.1	ASM2313192v1	Plasmopara viticola lesion associated ourmia-like virus 1	2895	1	1	
GCF_018583595.1	ASM1858359v1	Torque teno mini virus 10	2892	4	4	
GCF_018591015.1	ASM1859101v1	Sclerotinia sclerotiorum ourmia-like virus 4	2892	1	1	
GCF_023141485.1	ASM2314148v1	Plasmopara viticola lesion associated ourmia-like virus 87	2889	1	1	
GCF_023138175.1	ASM2313817v1	Plasmopara viticola lesion associated ourmia-like virus 44	2884	1	1	
GCF_018580825.1	ASM1858082v1	Torque teno mini virus SHA	2880	3	3	
GCF_023141575.1	ASM2314157v1	Plasmopara viticola lesion associated yadokari virus 1	2879	1	1	
GCF_023141715.1	ASM2314171v1	Botrytis cinerea ourmia-like virus 13	2877	1	1	
GCF_018585655.1	ASM1858565v1	Phaeoacremonium minimum ourmia-like virus 3	2876	1	1	
GCF_018583355.1	ASM1858335v1	Tomato apical leaf curl virus	2874	6	6	
GCF_023119435.1	AzfiMV1-Stockholm1	Azolla filiculoides mitovirus 1	2871	1	1	
GCF_023123085.1	ASM2312308v1	Nigrospora oryzae mitovirus 1	2865	1	1	
GCF_023138405.1	ASM2313840v1	Plasmopara viticola lesion associated ourmia-like virus 62	2863	1	1	
GCF_023141645.1	ASM2314164v1	Botrytis cinerea ourmia-like virus 4	2861	1	1	
GCF_018585555.1	ASM1858555v1	Cladosporium cladosporioides ourmia-like virus 1	2857	1	1	
GCF_023119475.1	CasaMV1-PurpleKush	Cannabis sativa mitovirus 1	2857	1	1	
GCF_018583885.1	ASM1858388v1	Goat associated porprismacovirus	2855	2	2	
GCF_004286675.1	ASM428667v1	Anelloviridae sp.	2854	2	2	
GCF_018580215.1	ASM1858021v1	TTV-like mini virus	2853	3	3	
GCF_018585615.1	ASM1858561v1	Epicoccum nigrum ourmia-like virus 2	2852	1	1	
GCF_023138415.1	ASM2313841v1	Plasmopara viticola lesion associated ourmia-like virus 63	2851	1	1	
GCF_018585465.1	ASM1858546v1	Melinis repens associated virus	2850	3	3	
GCF_023120315.1	ASM2312031v1	Ceratobasidium mitovirus A	2850	1	1	
GCF_023141695.1	ASM2314169v1	Botrytis cinerea ourmia-like virus 11	2850	1	1	
GCF_018585625.1	ASM1858562v1	Acremonium sclerotigenum ourmia-like virus 1	2848	1	1	
GCF_018585545.1	ASM1858554v1	Neofusicoccum parvum ourmia-like virus 1	2844	1	1	
GCF_018583605.1	ASM1858360v1	Torque teno mini virus 10	2839	4	4	
GCF_023141755.1	ASM2314175v1	Botrytis cinerea ourmia-like virus 17	2837	1	1	
GCF_023147795.1	ASM2314779v1	Macrophomina phaseolina ourmia-like virus 3	2833	1	1	
GCF_018580655.1	ASM1858065v1	TTV-like mini virus	2830	3	3	
GCF_004787655.1	ASM478765v1	Sweet potato leaf curl virus	2826	6	6	
GCF_029884855.1	Botryosphaeria dothidea Ourmia-like virus	Botryosphaeria dothidea Ourmia-like virus	2826	1	1	
GCF_023138265.1	ASM2313826v1	Plasmopara viticola lesion associated ourmia-like virus 52	2823	1	1	
GCF_023120095.1	ASM2312009v1	Sclerotinia sclerotiorum mitovirus 7	2815	1	1	
GCF_029885775.1	ASM2988577v1	Magnaporthe oryzae botourmiavirus 9	2812	1	1	
GCF_029886595.1	ASM2988659v1	Botrytis cinerea botoulivirus 19	2812	1	1	
GCF_004286455.1	ASM428645v1	Anelloviridae sp.	2810	2	2	
GCF_023119485.1	DapiMV1-RioRiata	Dahlia pinnata mitovirus 1	2806	1	1	
GCF_023131815.1	ASM2313181v1	Rhizoctonia solani mitovirus 39	2805	1	1	
GCF_023156215.1	ASM2315621v1	Torque teno equus virus 2	2805	2	2	
GCF_018591185.1	ASM1859118v1	Tomato leaf curl Kunene virus	2804	6	6	
GCF_023120035.1	ASM2312003v1	Ophiostoma mitovirus 7	2804	1	1	
GCF_023124545.1	ASM2312454v1	Entomophthora muscae mitovirus 1	2804	1	1	
GCF_023120465.1	ASM2312046v1	Fusarium boothii mitovirus 1	2802	1	1	
GCF_023119795.1	ASM2311979v1	Rhizoctonia mitovirus 1 RS002	2797	1	1	
GCF_023119495.1	HuluMV1-Karahanasou	Humulus lupulus mitovirus 1	2795	1	1	
GCF_018585635.1	ASM1858563v1	Phaeoacremonium minimum ourmia-like virus 2	2793	1	1	
GCF_023124355.1	ASM2312435v1	Rhizoctonia solani mitovirus 23	2792	1	1	
GCF_018582805.1	ASM1858280v1	Tick associated torque teno virus	2782	3	3	
GCF_003656925.1	ASM365692v1	Circoviridae sp.	2780	2	2	
GCF_023141495.1	ASM2314149v1	Plasmopara viticola lesion associated ourmia-like virus 88	2778	1	1	
GCF_004790455.1	ASM479045v1	Botryosphaeria dothidea chrysovirus 1	11598	4	4	
GCF_023119445.1	SochMV1-G4	Solanum chacoense mitovirus 1	2773	1	1	
GCF_003029335.1	ASM302933v2	Cotton yellow mosaic virus	5482	8	8	
GCF_004786735.1	ASM478673v1	Tomato leaf curl Arusha virus	2766	6	6	
GCF_018582645.1	ASM1858264v1	Papio cynocephalus associated smacovirus	2766	2	2	
GCF_002822285.1	ASM282228v1	Dolichos yellow mosaic virus	2761	6	6	
GCF_018583985.1	ASM1858398v1	Papaya yellow leaf curl virus	2760	7	7	
GCF_023124275.1	ASM2312427v1	Rhizoctonia solani mitovirus 30	2760	1	1	
GCF_029886585.1	ASM2988658v1	Botrytis cinerea botoulivirus 18	2759	1	1	
GCF_002824105.1	ASM282410v1	Tomato leaf curl Hainan virus	2756	6	6	
GCF_004788215.1	ASM478821v1	Rice latent virus 1	2756	4	4	
GCF_018584225.1	ASM1858422v1	Papaya severe leaf curl virus	2754	7	7	
GCF_018584235.1	ASM1858423v1	Papaya severe leaf curl virus	2754	7	7	
GCF_013407125.1	ASM1340712v1	Passion fruit leaf curl virus	2752	6	6	
GCF_004787015.1	ASM478701v1	Hollyhock yellow vein mosaic virus	2750	6	6	
GCF_023122865.1	ASM2312286v1	Beta vulgaris mitovirus 1	2750	1	1	
GCF_018585595.1	ASM1858559v1	Epicoccum nigrum ourmia-like virus 1	2749	1	1	
GCF_004787535.1	ASM478753v1	Eclipta yellow vein virus	2748	6	6	
GCF_023138275.1	ASM2313827v1	Plasmopara viticola lesion associated ourmia-like virus 53	2748	1	1	
GCF_003029085.1	ASM302908v1	Sugarcane striate virus	2747	4	4	
GCF_004788335.1	ASM478833v1	Maize striate mosaic virus	2746	4	4	
GCF_023132065.1	ASM2313206v1	Plasmopara viticola lesion associated ourmia-like virus 5	2746	1	1	
GCF_023147785.1	ASM2314778v1	Macrophomina phaseolina ourmia-like virus 2-A	2745	1	1	
GCF_023119775.1	ASM2311977v1	Sclerotinia sclerotiorum mitovirus 4	2744	1	1	
GCF_003029535.1	ASM302953v1	Pepper yellow leaf curl Thailand virus	2742	6	6	
GCF_002823125.1	ASM282312v1	Pepper leaf curl Lahore virus	2740	6	6	
GCF_018582775.1	ASM1858277v1	Hibiscus vein enation virus	2740	6	6	
GCF_002987285.1	ASM298728v1	Wheat dwarf virus	2739	6	4	
GCF_023138185.1	ASM2313818v1	Plasmopara viticola lesion associated ourmia-like virus 45	2736	1	1	
GCF_023120105.1	ASM2312010v1	Buergenerula spartinae mitovirus 1	2735	1	1	
GCF_023119465.1	OxruMV1-374	Oxybasis rubra mitovirus 1	2734	1	1	
GCF_004290995.1	ASM429099v1	Anelloviridae sp.	2733	1	1	
GCF_004787555.1	ASM478755v2	West African Asystasia virus 1	5389	9	9	
GCF_004787175.1	ASM478717v1	Pouzolzia golden mosaic virus	2725	6	6	
GCF_023120295.1	ASM2312029v1	Sclerotinia nivalis mitovirus 1	2720	1	1	
GCF_023148325.1	ASM2314832v1	Entamoeba-associated CRESS DNA virus 1	2713	2	2	
GCF_018584905.1	ASM1858490v1	Aspergillus neoniger ourmia-like virus 1	2708	1	1	
GCF_029884195.1	ASM2988419v1	Yerba mate-associated circular DNA virus 1	2707	5	5	
GCF_023119455.1	PeexMV1-OPGC943	Petunia exserta mitovirus 1	2701	1	1	
GCF_023132085.1	ASM2313208v1	Plasmopara viticola lesion associated ourmia-like virus 6	2697	1	1	
GCF_023138425.1	ASM2313842v1	Plasmopara viticola lesion associated ourmia-like virus 64	2697	1	1	
GCF_023141665.1	ASM2314166v1	Botrytis cinerea ourmia-like virus 6	2697	1	1	
GCF_023131955.1	ASM2313195v1	Plasmopara viticola lesion associated ourmia-like virus 2	2696	1	1	
GCF_029885615.1	ASM2988561v1	Fusarium oxysporum ourmia-like virus	2694	1	1	
GCF_004286755.1	ASM428675v1	Anelloviridae sp.	2691	3	3	
GCF_018580905.1	ASM1858090v1	Chlorocebus cynosuros associated smacovirus	2691	2	2	
GCF_003048235.1	ASM304823v1	Maize streak virus - A[South Africa]	2690	7	5	
GCF_023132125.1	ASM2313212v1	Plasmopara viticola lesion associated ourmia-like virus 7	2685	1	1	
GCF_029886825.1	ASM2988682v1	Erysiphe necator associated ourmia-like virus 21	2680	2	2	
GCF_004287275.1	ASM428727v1	Anelloviridae sp.	2679	3	3	
GCF_002987195.1	ASM298719v1	Euphorbia caput-medusae latent virus	2678	7	7	
GCF_029888545.1	ASM2988854v1	Fusarium oxysporum alternavirus 1	10379	4	4	
GCF_029885785.1	ASM2988578v1	Pestalotiopsis botourmiavirus 2	2674	1	1	
GCF_004285675.1	ASM428567v1	Anelloviridae sp.	2668	2	2	
GCF_023138195.1	ASM2313819v1	Plasmopara viticola lesion associated ourmia-like virus 46	2668	1	1	
GCF_023148875.1	ASM2314887v1	Botryosphaeria dothidea mitovirus 1	2667	1	1	
GCF_018582955.1	ASM1858295v1	Giant panda anellovirus	2663	4	4	
GCF_023141505.1	ASM2314150v1	Plasmopara viticola lesion associated ourmia-like virus 89	2660	1	1	
GCF_002986855.1	ASM298685v1	Sida micrantha mosaic virus	5288	7	7	
GCF_023124505.1	ASM2312450v1	Neofusicoccum parvum mitovirus 1	2659	1	1	
GCF_018580925.1	ASM1858092v1	Chlorocebus cynosuros associated smacovirus	2656	2	2	
GCF_029888555.1	ASM2988855v1	Cordyceps chanhua alternavirus 1	8582	3	3	
GCF_018587055.1	ASM1858705v1	Panthera leo smacovirus 1	2650	2	2	
GCF_003028965.1	ASM302896v1	Dragonfly-associated mastrevirus	2649	4	4	
GCF_023132185.1	ASM2313218v1	Plasmopara viticola lesion associated ourmia-like virus 8	2645	1	1	
GCF_023119415.1	ASM2311941v1	Sclerotinia homoeocarpa mitovirus	2632	1	1	
GCF_002867675.1	ASM286767v2	Tomato mottle leaf curl virus	2630	5	5	
GCF_018587715.2	ASM1858771v2	Tomato mosaic severe dwarf virus	5230	6	6	
GCF_018577845.1	ASM1857784v1	Pine marten torque teno virus 1	2618	3	3	
